Match,Team,Time,Player,Action_Type,Yellow_Card,Red_Card,Full_Text
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,46',Adam Armstrong,Shot,0,0,Attempt blocked. Adam Armstrong (Blackburn Rovers) right footed shot from outside the box is blocked. Assisted by Stewart Downing.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,47',None,Corner,0,0,"Corner,  Blackburn Rovers. Conceded by Joe Worrall."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,49',None,Corner,0,0,"Corner,  Blackburn Rovers. Conceded by Joe Worrall."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,50',Sam Gallagher,Shot,0,0,Attempt missed. Sam Gallagher (Blackburn Rovers) header from the centre of the box misses to the right. Assisted by Greg Cunningham with a cross.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,52',None,Corner,0,0,"Corner,  Nottingham Forest. Conceded by Greg Cunningham."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,52',Ben Watson,Shot,0,0,Attempt missed. Ben Watson (Nottingham Forest) right footed shot from outside the box is too high following a corner.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,54',Ben Watson,FreeKick,0,0,Ben Watson (Nottingham Forest) wins a free kick on the left wing.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,54',Bradley Dack,Foul,0,0,Foul by Bradley Dack (Blackburn Rovers).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,56',Danny Graham,Shot,0,0,Attempt missed. Danny Graham (Blackburn Rovers) header from the centre of the box is just a bit too high. Assisted by Stewart Downing with a cross.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,56',Stewart Downing,Foul,0,0,Foul by Stewart Downing (Blackburn Rovers).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,56',Samba Sow,FreeKick,0,0,Samba Sow (Nottingham Forest) wins a free kick in the defensive half.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,58',Lewis Grabban,Shot,0,0,Attempt saved. Lewis Grabban (Nottingham Forest) right footed shot from outside the box is saved in the centre of the goal.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,59',None,Substitution,0,0,"Substitution, Blackburn Rovers. Joe Rothwell replaces Sam Gallagher."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,60',Danny Graham,Shot,0,0,Attempt blocked. Danny Graham (Blackburn Rovers) header from the centre of the box is blocked. Assisted by Stewart Downing with a cross.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,60',Stewart Downing,Foul,0,0,Foul by Stewart Downing (Blackburn Rovers).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,60',Joe Lolley,FreeKick,0,0,Joe Lolley (Nottingham Forest) wins a free kick in the defensive half.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,60',Stewart Downing,Foul,1,0,Stewart Downing (Blackburn Rovers) is shown the yellow card for a bad foul.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,62',None,Substitution,0,0,"Substitution, Nottingham Forest. João Carvalho replaces Sammy Ameobi."
